name,addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,fixme
,8306,Big Valley Road,,,Warm Springs,VA,24484,38.228544341000031,-79.66309886,
,8422,Big Valley Road,,,Warm Springs,VA,24484,38.227240645000052,-79.66366801,
,8430,Big Valley Road,,,Warm Springs,VA,24484,38.225905555000047,-79.66424248,
,8715,Big Valley Road,,,Warm Springs,VA,24484,38.223517381000079,-79.66521937,
,8721,Big Valley Road,,,Warm Springs,VA,24484,38.221380589000027,-79.66473341,
,8783,Big Valley Road,,,Warm Springs,VA,24484,38.222378935000052,-79.66652796,
,8792,Big Valley Road,,,Warm Springs,VA,24484,38.223625218000052,-79.66783818,
,8821,Big Valley Road,,,Warm Springs,VA,24484,38.221364448000031,-79.66714272,
,8881,Big Valley Road,,,Warm Springs,VA,24484,38.220545715000071,-79.66688729,
,8883,Big Valley Road,,,Warm Springs,VA,24484,38.220203649000041,-79.66720502,
,9067,Big Valley Road,,,Warm Springs,VA,24484,38.219474670000068,-79.66878826,
,9074,Big Valley Road,,,Warm Springs,VA,24484,38.220932382000058,-79.66949614,
,9407,Big Valley Road,,,Warm Springs,VA,24484,38.216587605000029,-79.6737134,
,9468,Big Valley Road,,,Warm Springs,VA,24484,38.217302020000027,-79.67543602,
,9558,Big Valley Road,,,Warm Springs,VA,24484,38.217068577000070,-79.67688429,
,9665,Big Valley Road,,,Warm Springs,VA,24484,38.217077354000018,-79.67874658,
,9696,Big Valley Road,,,Warm Springs,VA,24484,38.217572732000058,-79.6782947,
,9705,Big Valley Road,,,Warm Springs,VA,24484,38.217172280000050,-79.67952798,
,9746,Big Valley Road,,,Warm Springs,VA,24484,38.217684786000063,-79.67999597,
,9755,Big Valley Road,,,Warm Springs,VA,24484,38.217619162000062,-79.68034667,
,9774,Big Valley Road,,,Warm Springs,VA,24484,38.218016380000051,-79.68058854,
,10286,Big Valley Road,,,Warm Springs,VA,24484,38.221861867000030,-79.68623502,
,10586,Big Valley Road,,,Warm Springs,VA,24484,38.224744726000040,-79.69264954,
,10675,Big Valley Road,,,Warm Springs,VA,24484,38.224009541000036,-79.69633703,
,10937,Big Valley Road,,,Warm Springs,VA,24484,38.226151103000063,-79.69797052,
,10938,Big Valley Road,,,Warm Springs,VA,24484,38.227013943000031,-79.69751584,
,11006,Big Valley Road,,,Warm Springs,VA,24484,38.228380639000079,-79.69354084,
,11068,Big Valley Road,,,Warm Springs,VA,24484,38.227627821000048,-79.69992237,
,14,Carpenters Lane,,,Warm Springs,VA,24484,38.247586704000071,-79.64902601,
,337,Carpenters Lane,,,Warm Springs,VA,24484,38.246281163000049,-79.63600349,
,489,Carpenters Lane,,,Warm Springs,VA,24484,38.245824415000072,-79.64402211,
,841,Carpenters Lane,,,Warm Springs,VA,24484,38.243486098000062,-79.63862066,
,15417,Jackson River Road,,,Warm Springs,VA,24484,38.227495818000079,-79.70088446,
,15654,Jackson River Road,,,Warm Springs,VA,24484,38.225103253000043,-79.70554133,
,15665,Jackson River Road,,,Warm Springs,VA,24484,38.225045627000043,-79.70413317,
,82,Meadowlark Lane,,,Warm Springs,VA,24484,38.256381728000058,-79.6383575,
,85,Meadowlark Lane,,,Warm Springs,VA,24484,38.256287862000079,-79.63794583,
,727,Meadowlark Lane,,,Warm Springs,VA,24484,38.253478298000061,-79.63048086,
,304,Mills Drive,,,Warm Springs,VA,24484,38.249348631000032,-79.64297997,
,150,Arrow Ridge Lane,,,Williamsville,VA,24487,38.307964282000050,-79.4240319,
,44,Benson Run Hollow,,,Williamsville,VA,24487,38.266513976000049,-79.49376599,
,354,Benson Run Hollow,,,Williamsville,VA,24487,38.260405950000063,-79.49721327,
,393,Benson Run Hollow,,,Williamsville,VA,24487,38.263641240000020,-79.49227144,
,397,Benson Run Hollow,,,Williamsville,VA,24487,38.262910916000060,-79.49273009,
,435,Benson Run Hollow,,,Williamsville,VA,24487,38.261921909000080,-79.49331263,
,1259,Benson Run Hollow,,,Williamsville,VA,24487,38.252720206000049,-79.48503515,
,1337,Benson Run Hollow,,,Williamsville,VA,24487,38.253342993000039,-79.48781324,
,1371,Benson Run Hollow,,,Williamsville,VA,24487,38.253484737000058,-79.48878224,
,533,Berriedale Road,,,Williamsville,VA,24487,38.216199382000070,-79.5346946,
,779,Burnsville Road,,,Williamsville,VA,24487,38.234839450000038,-79.59282997,
,783,Burnsville Road,,,Williamsville,VA,24487,38.234966879000069,-79.5934668,
,999,Burnsville Road,,,Williamsville,VA,24487,38.233281208000051,-79.59642026,
,1241,Burnsville Road,,,Williamsville,VA,24487,38.229007440000032,-79.6011245,
,1243,Burnsville Road,,,Williamsville,VA,24487,38.230351230000053,-79.59989616,
,1302,Burnsville Road,,,Williamsville,VA,24487,38.230674289000028,-79.60171795,
,1424,Burnsville Road,,,Williamsville,VA,24487,38.229397823000049,-79.60258378,
,1490,Burnsville Road,,,Williamsville,VA,24487,38.228701751000067,-79.60343161,
,1644,Burnsville Road,,,Williamsville,VA,24487,38.230261642000073,-79.60462977,
,1752,Burnsville Road,,,Williamsville,VA,24487,38.232069969000058,-79.61487683,
,1775,Burnsville Road,,,Williamsville,VA,24487,38.227491424000050,-79.60725601,
,1936,Burnsville Road,,,Williamsville,VA,24487,38.225215233000029,-79.61060126,
,1952,Burnsville Road,,,Williamsville,VA,24487,38.222934160000079,-79.60900659,
,2023,Burnsville Road,,,Williamsville,VA,24487,38.222230443000058,-79.60877168,
,2174,Burnsville Road,,,Williamsville,VA,24487,38.220503110000038,-79.61046492,
,2183,Burnsville Road,,,Williamsville,VA,24487,38.219744093000031,-79.6103536,
,2270,Burnsville Road,,,Williamsville,VA,24487,38.219494664000017,-79.61254938,
,2403,Burnsville Road,,,Williamsville,VA,24487,38.215834012000073,-79.61177098,
,2581,Burnsville Road,,,Williamsville,VA,24487,38.214390327000039,-79.610687,
,2792,Burnsville Road,,,Williamsville,VA,24487,38.215267555000018,-79.61985064,
,2796,Burnsville Road,,,Williamsville,VA,24487,38.213953774000061,-79.62293293,
,2931,Burnsville Road,,,Williamsville,VA,24487,38.210154583000069,-79.61815676,
,752,Country Lane,,,Williamsville,VA,24487,38.228347351000018,-79.5128495,
,7379,Cow Pasture River Road South,,,Williamsville,VA,24487,38.250856189000039,-79.51077486,
,3432,Cowpasture River Road South,,,Williamsville,VA,24487,38.289474285000040,-79.4650094,
,5030,Cowpasture River Road South,,,Williamsville,VA,24487,38.276600629000029,-79.48523434,
,5223,Cowpasture River Road South,,,Williamsville,VA,24487,38.274010420000018,-79.48657743,
,5391,Cowpasture River Road South,,,Williamsville,VA,24487,38.270698249000070,-79.48773111,
,5593,Cowpasture River Road South,,,Williamsville,VA,24487,38.269906022000043,-79.49091398,
,5649,Cowpasture River Road South,,,Williamsville,VA,24487,38.268063421000079,-79.49084566,
,6786,Cowpasture River Road South,,,Williamsville,VA,24487,38.256128593000028,-79.50315562,
,7236,Cowpasture River Road South,,,Williamsville,VA,24487,38.254184628000068,-79.50987841,
,8155,Cowpasture River Road South,,,Williamsville,VA,24487,38.242190975000028,-79.51621436,
,8157,Cowpasture River Road South,,,Williamsville,VA,24487,38.241477894000070,-79.51584887,
,8159,Cowpasture River Road South,,,Williamsville,VA,24487,38.241408491000072,-79.51647452,
,8199,Cowpasture River Road South,,,Williamsville,VA,24487,38.240731239000070,-79.51691588,
,8335,Cowpasture River Road South,,,Williamsville,VA,24487,38.239453046000051,-79.51492187,
,8640,Cowpasture River Road South,,,Williamsville,VA,24487,38.238043909000048,-79.52081817,
,8807,Cowpasture River Road South,,,Williamsville,VA,24487,38.234219732000042,-79.52291114,
,8825,Cowpasture River Road South,,,Williamsville,VA,24487,38.234052961000032,-79.52343586,
,9028,Cowpasture River Road South,,,Williamsville,VA,24487,38.231148676000032,-79.52664963,
,9071,Cowpasture River Road South,,,Williamsville,VA,24487,38.231105788000029,-79.52401953,
,9105,Cowpasture River Road South,,,Williamsville,VA,24487,38.230399039000069,-79.52532613,
,9203,Cowpasture River Road South,,,Williamsville,VA,24487,38.229193008000038,-79.52324324,
,9339,Cowpasture River Road South,,,Williamsville,VA,24487,38.228537790000068,-79.52893841,
,9808,Cowpasture River Road South,,,Williamsville,VA,24487,38.225642819000029,-79.53644117,
,9891,Cowpasture River Road South,,,Williamsville,VA,24487,38.224504996000057,-79.53700773,
,10245,Cowpasture River Road South,,,Williamsville,VA,24487,38.219816230000049,-79.54005206,
,10983,Cowpasture River Road South,,,Williamsville,VA,24487,38.212774770000060,-79.54923992,
,11157,Cowpasture River Road South,,,Williamsville,VA,24487,38.208433823000057,-79.54642547,
,11188,Cowpasture River Road South,,,Williamsville,VA,24487,38.210071014000050,-79.55314418,
,11345,Cowpasture River Road South,,,Williamsville,VA,24487,38.208674139000038,-79.55378542,
,11499,Cowpasture River Road South,,,Williamsville,VA,24487,38.206727209000057,-79.55557773,
,11611,Cowpasture River Road South,,,Williamsville,VA,24487,38.205200299000069,-79.55630857,
,11987,Cowpasture River Road South,,,Williamsville,VA,24487,38.203343310000029,-79.56220799,
,12223,Cowpasture River Road South,,,Williamsville,VA,24487,38.199587661000059,-79.56174125,
Williamsville Fire Station,12258,Cowpasture River Road South,,,Williamsville,VA,24487,38.200336244000020,-79.56455006,
,25,Deer Road Road,,,Williamsville,VA,24487,38.236006000000032,-79.59374809,
,499,Deer Run,,,Williamsville,VA,24487,38.235674638000027,-79.60157545,
,588,Deer Run,,,Williamsville,VA,24487,38.237846753000042,-79.60275148,
